index,statefp,state,countyfp,county,unique.name,hurricane,zcta,time.seconds,track_order,wind_order,rain_order,track_rate,wind_rate,rain_rate,track_bid1,wind_bid1,rain_bid1,track_answer1,wind_answer1,rain_answer1,track_bid2,wind_bid2,rain_bid2,track_answer2,wind_answer2,rain_answer2,mean.inc18,female,experience,evacuate,voice,action,long_risk,age,owner,tenure,short_risk,hurricane_awareness,fema_awareness,nfip_awareness,damage,hh_size,dist.shore,loss,fem_20ws,fem_30ws,fem_40ws,fem_50ws,meaninc_20ws,meaninc_30ws,meaninc_40ws,meaninc_50ws,ownr_20ws,ownr_30ws,ownr_40ws,ownr_50ws,tax,personal,worth,costly,trust,mean.inc11,US_inc18,dif_mean
882,37,north carolina,81,guilford,north carolina guilford,florence,27403,631,2,1,3,1,2,2,27,33,7,0,1,0,21.6,39.6,5.6,0,0,0,65527,1,0,0,1,1,2.00E-04,46,1,16,2.00E-04,3,2,2,0,3,261702.1328,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,0,64527.52,68372.58687,-0.163408257
883,37,north carolina,81,guilford,north carolina guilford,florence,27406,454,2,1,3,3,1,1,20,4,9,0,1,1,16,4.8,10.8,0,1,0,56358,1,1,0,2,3,1,21,1,2,0.2,3,2,1,0,4,254936.1803,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,55518.03,68372.58687,-0.163408257
884,37,north carolina,49,craven,north carolina craven,florence,28562,478,1,3,2,2,2,3,19,40,36,1,1,0,22.8,48,28.8,1,1,0,83027,1,1,0,4,4,0.2,76,1,26,0.2,4,4,3,0,2,12038.15687,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,76522.47,68372.58687,47.10525345
885,37,north carolina,81,guilford,north carolina guilford,florence,27406,526,1,3,2,3,1,1,23,47,40,0,0,0,18.4,37.6,32,0,0,0,56358,1,1,1,3,3,1.00E-04,69,1,13.08333333,2.00E-04,3,4,4,1,1,254936.1803,1,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,55518.03,68372.58687,-0.163408257
886,45,south carolina,51,horry,south carolina horry,florence,29577,701,1,2,3,2,2,1,40,33,29,0,0,0,32,26.4,23.2,0,0,0,61866,1,1,0,3,3,0.01,69,1,3,0.01,3,3,3,0,1,2347.567662,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,58635.7,68372.58687,-19.76940904
887,45,south carolina,51,horry,south carolina horry,florence,29588,640,3,2,1,2,3,3,27,23,40,1,1,1,32.4,27.6,48,1,1,1,62977,1,1,1,3,3,0.2,66,1,2,0.1,4,3,2,0,2,8506.280299,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,64800.98,68372.58687,-19.76940904
888,37,north carolina,107,lenoir,north carolina lenoir,florence,28501,874,3,2,1,1,3,3,33,8,31,0,1,0,26.4,9.6,24.8,0,1,0,45498,1,1,0,5,2,0.2,63,1,10,0.2,3,2,1,1,1,51739.8688,2,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,1,38420,68372.58687,45.2351375
889,37,north carolina,19,brunswick,north carolina brunswick,florence,28451,854,2,1,3,2,1,1,8,24,27,1,1,0,9.6,28.8,21.6,1,1,0,66511,0,0,0,2,3,0.02,64,1,0.5,0.02,3,3,1,0,2,13694.9166,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,70402.39,68372.58687,4.457108889
890,37,north carolina,129,new hanover,north carolina new hanover,florence,28411,597,2,3,1,3,1,2,21,10,10,1,1,1,25.2,12,12,1,1,1,95454,0,1,1,1,1,0.2,49,0,1.5,0.2,3,3,2,0,4,4071.787375,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,1,1,0,1,94868.02,68372.58687,25.90127429
891,37,north carolina,107,lenoir,north carolina lenoir,florence,28504,811,3,2,1,3,2,1,14,23,41,0,0,0,11.2,18.4,32.8,1,0,0,64913,1,0,0,5,5,0.001,65,1,6,0.001,3,0,2,0,2,60637.54448,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,66250.77,68372.58687,45.2351375
