geoid,tot.pop18,male.pop18,fem.pop18,med.inc18,mean.inc18,mean.inc18.moe,zcta
8600000US01453,32545,15241,17304,58205,76754,3325,01453
8600000US01460,7625,3598,4027,120638,143603,9607,01460
8600000US01462,8693,4047,4646,101510,113569,9124,01462
8600000US01463,9324,4579,4745,96750,119833,9938,01463
8600000US01464,6572,3976,2596,70542,99016,13112,01464
8600000US01467,316,110,206,96806,135641,90706,01467
8600000US01468,3372,1547,1825,70438,89960,14843,01468
8600000US01469,5765,2869,2896,83602,102455,10336,01469
8600000US01473,5999,2996,3003,98714,113449,11405,01473
8600000US01474,1488,732,756,96750,136120,34226,01474
8600000US01475,8203,4073,4130,71895,84674,9424,01475
8600000US01501,13569,6593,6976,83441,99167,4495,01501
8600000US01503,2505,1247,1258,104063,132350,16722,01503
8600000US01504,7199,3389,3810,86513,99879,7370,01504
8600000US01505,3573,1660,1913,98520,119053,10686,01505
8600000US01506,2732,1401,1331,68125,90221,11636,01506
8600000US01507,10444,4600,5844,97805,110976,8949,01507
8600000US01510,11122,5520,5602,66094,83269,6038,01510
8600000US01515,1705,872,833,84444,89692,6875,01515
8600000US01516,6529,3220,3309,95567,104320,5970,01516
8600000US01518,2758,1242,1516,64732,100478,18422,01518
8600000US01519,5162,2525,2637,106644,130158,12502,01519
8600000US01520,11950,5641,6309,105772,123838,5632,01520
8600000US01521,2015,1046,969,81680,95053,8164,01521
8600000US01522,2355,1085,1270,101089,127360,25134,01522
8600000US01523,6156,3669,2487,103857,116842,17607,01523
8600000US01524,5833,2670,3163,71645,92142,16208,01524
8600000US01525,276,148,128,40888,51491,19150,01525
8600000US01527,10860,5259,5601,81804,104680,9801,01527
8600000US01529,2455,1113,1342,78704,98656,9977,01529
8600000US01531,998,506,492,89167,107679,15661,01531
8600000US01532,11482,5385,6097,113608,154347,12277,01532
8600000US01534,5026,2459,2567,92181,114506,11652,01534
8600000US01535,3819,1821,1998,73599,85607,7124,01535
8600000US01536,5959,2744,3215,108175,124935,10533,01536
8600000US01537,1818,824,994,76389,78072,9850,01537
8600000US01540,8832,4542,4290,68750,83768,6891,01540
8600000US01541,2724,1343,1381,134191,165998,18211,01541
8600000US01542,1818,867,951,107806,111247,16513,01542
8600000US01543,6390,3319,3071,104050,112333,8063,01543
8600000US01545,27917,13399,14518,106108,129554,5196,01545
8600000US01550,13263,6581,6682,50787,62978,3417,01550
8600000US01560,3276,1634,1642,79583,111389,12227,01560
8600000US01561,269,166,103,,85720,38049,01561
8600000US01562,9954,5126,4828,71830,78836,5340,01562
8600000US01564,6248,3122,3126,107348,137440,15039,01564
8600000US01566,4307,1907,2400,100600,125087,15628,01566
8600000US01568,5716,2877,2839,123942,146652,13757,01568
8600000US01569,10803,5410,5393,101266,108745,6355,01569
8600000US01570,13500,6273,7227,57924,73864,5733,01570
8600000US01571,9204,4275,4929,67117,89644,8067,01571
8600000US01581,13956,6893,7063,108767,139391,7240,01581
8600000US01583,6679,4344,2335,79375,107040,10563,01583
8600000US01585,3802,1875,1927,68578,85963,9459,01585
8600000US01588,7370,3454,3916,75495,91039,8925,01588
8600000US01590,7083,3367,3716,102439,124900,8560,01590
8600000US01602,19884,9193,10691,61710,81485,3968,01602
8600000US01603,15119,7425,7694,38701,59029,4800,01603
8600000US01604,29231,14739,14492,53270,69097,3312,01604
8600000US01605,21595,10176,11419,37857,55155,3830,01605
8600000US01606,15865,7294,8571,66130,82004,6526,01606
8600000US01607,6865,3271,3594,46974,57551,5444,01607
8600000US01608,2774,1251,1523,24181,33694,5388,01608
8600000US01609,18898,9666,9232,44943,82154,8956,01609
8600000US01610,19469,9004,10465,34005,45316,3597,01610
8600000US01611,1798,871,927,92898,101899,15547,01611
8600000US01612,3981,1972,2009,99875,131047,11791,01612
8600000US01701,26708,12650,14058,111169,132278,7001,01701
8600000US01702,31066,15222,15844,57186,76098,3863,01702
8600000US01718,614,262,352,164402,157821,35535,01718
8600000US01719,4547,2342,2205,108207,140407,11245,01719
8600000US01720,17085,8225,8860,137147,165998,7630,01720
8600000US01721,13534,6541,6993,121406,136571,8249,01721
8600000US01730,10469,5144,5325,129726,163587,12675,01730
8600000US01731,1165,582,583,97305,104475,12584,01731
8600000US01740,3764,1905,1859,155093,174038,16336,01740
8600000US01741,3971,2002,1969,171625,240930,27761,01741
8600000US01742,14807,7666,7141,141068,195692,13220,01742
8600000US01745,385,147,238,125139,124938,21992,01745
8600000US01746,10884,5230,5654,125625,157110,9885,01746
8600000US01747,4529,2037,2492,107550,109996,9703,01747
8600000US01748,12555,6171,6384,166156,190259,11642,01748
8600000US01749,16121,7750,8371,87806,106042,5145,01749
8600000US01752,31866,15083,16783,79228,100656,4696,01752
8600000US01754,8397,4141,4256,101324,121375,11427,01754
8600000US01756,4624,2326,2298,132063,161517,25734,01756
8600000US01757,22218,10867,11351,82260,94403,5007,01757
8600000US01760,27173,12855,14318,109490,143456,6471,01760
8600000US01770,3106,1477,1629,180769,221374,22374,01770
8600000US01772,7001,3499,3502,147444,191769,14580,01772
8600000US01773,3924,1834,2090,137222,201858,26500,01773
8600000US01775,5269,2493,2776,145967,164845,17284,01775
8600000US01776,13442,6624,6818,176570,223959,12648,01776
8600000US01778,10276,4889,5387,174107,223706,14789,01778
8600000US01801,32499,15825,16674,88671,104168,4712,01801
8600000US01803,21515,10169,11346,105443,130151,7371,01803
8600000US01810,26724,12843,13881,148125,186073,7966,01810
8600000US01821,26463,12730,13733,103728,116743,5381,01821
8600000US01824,20605,9974,10631,119387,136170,6218,01824
8600000US01826,24230,11624,12606,88440,100749,4655,01826
8600000US01827,2564,1295,1269,131250,157170,16769,01827
8600000US01830,20635,9890,10745,62194,81355,4631,01830
8600000US01832,17963,8553,9410,66106,82985,4960,01832
8600000US01833,6645,3201,3444,128885,136912,9843,01833
8600000US01834,5365,2806,2559,97109,112510,13678,01834
8600000US01835,10154,4689,5465,75115,90412,5693,01835
8600000US01840,4092,1901,2191,22092,44020,7076,01840
8600000US01841,35386,17582,17804,40230,52289,2891,01841
8600000US01843,18679,9112,9567,49443,62409,3926,01843
8600000US01844,39338,18578,20760,74912,94101,3437,01844
8600000US01845,23425,11099,12326,109371,146547,7198,01845
8600000US01850,12015,6441,5574,48331,60908,5092,01850
8600000US01851,23727,11760,11967,57029,72914,3836,01851
8600000US01852,27283,13150,14133,54377,71574,4183,01852
8600000US01854,24041,11842,12199,42293,60852,3923,01854
8600000US01860,5403,2599,2804,83508,108311,10246,01860
8600000US01862,8634,4832,3802,97234,104971,8687,01862
8600000US01863,7295,3544,3751,88542,109314,9054,01863
8600000US01864,12212,6096,6116,126818,152083,10934,01864
8600000US01867,19090,9002,10088,112836,138257,7340,01867
8600000US01876,24784,11814,12970,97853,113964,7413,01876
8600000US01879,9842,4778,5064,109485,126782,11541,01879
8600000US01880,21530,10185,11345,95954,118976,7823,01880
8600000US01886,17689,8745,8944,141173,154239,6170,01886
8600000US01887,18573,9118,9455,122813,136610,8073,01887
8600000US01890,16356,7725,8631,159536,220498,9670,01890
8600000US01901,1438,715,723,22788,35010,6935,01901
8600000US01902,37156,18281,18875,43956,61318,2956,01902
8600000US01904,13446,6536,6910,85309,95352,4393,01904
8600000US01905,18902,9562,9340,60417,74779,5251,01905
8600000US01906,23153,10885,12268,80253,98449,4900,01906
8600000US01907,11497,5233,6264,113078,153226,13454,01907
8600000US01908,3041,1404,1637,90741,130144,20339,01908
8600000US01913,13712,6540,7172,80721,97711,5321,01913
8600000US01915,34717,15980,18737,79483,109747,5917,01915
8600000US01921,6233,3076,3157,174340,216543,25419,01921
8600000US01922,2489,1052,1437,90489,130679,25535,01922
8600000US01923,21904,10085,11819,84842,103974,4996,01923
8600000US01929,2826,1449,1377,113469,135147,18219,01929
8600000US01930,24994,11822,13172,65377,91768,5321,01930
8600000US01937,174,127,47,,,,01937
8600000US01938,11042,5102,5940,90557,117818,9934,01938
8600000US01940,10221,4756,5465,119876,162028,12673,01940
